"address";"address"
"R. Costa Barros";5
"R. Itapeva";5
"R. Albion";5
"R. Galvão Bueno";5
"R. Sousa Ramos";5
"R. Cinco Irmãos";5
"R. Antônio de Macedo Soares";5
"Av. Penha de França";5
"Av. Pres. Castelo Branco";5
"R. Raul Pompéia";5
"Viaduto do Glicério";5
"R. Treze de Maio";5
"R. Noruega";5
"R. Tucuna";5
"R. Faustolo";5
"Av. Amador Bueno da Veiga";5
"Av. dos Ourives";5
"Av. do Cursino";5
"Av. Yervant Kissajikian";5
"R. Teixeira Leite";5
"R. Epaminondas Melo do Amaral";5
"R. Marcos Lopes";5
"R. Borges Lagoa";5
"Av. São Luís";5
"R. Paulo Arentino";5
"Av. Braz Leme";5
"Av. Prof. Fonseca Rodrigues";5
"Av. Prof.  Vicente Rao";5
"R. Bresser & Av. Alcântara Machado";5
"Av. Elísio Cordeiro de Siqueira";5
"R. Comendador Cantinho";5
"Av. Escola Politécnica";5
"Av. Governador Carvalho Pinto";5
"Av. Eng.  Luís Carlos Berrini";5
"Av. Mofarrej";4
"R. Inácio Luís da Costa";4
"R. Basílio da Cunha";4
"R. Barão de Itapetininga";4
"R. Haddock Lobo";4
"Av. Maria Luiza Americano";4
"Largo do Arouche";4
"R. Bartira";4
"R. Barretos";4
"Av. Masao Watanabe";4
"R. Bela Cintra";4
"Pte. Eusébio Matoso";4
"Av. Dep. Emílio Carlos";4
"Av. Maria Campos";4
"Av. Maria Coelho Aguiar";4
"R. Min. Roberto Cardoso Alves";4
"Av. Eng. George Corbisier";4
"Av. Major Sylvio de Magalhães Padilha";4
"Viaduto Júlio de Mesquita Filho";4
"Av. Gen. Penha Brasil";4
"Pça.  Jorge de Lima";4
"Av. Luiz Pequini";4
"Av. Luiz Dumont Villares";4
"Av. Edu Chaves";4
"R. Dr. SÍlvio Dante Bertacchi";4
"R. Tico";4
"R. Guaipá";4
"R. Arizona";4
"Av. dos Metalúrgicos";4
"Av. Angélica";4
"R. Pedro de Toledo";4
"R. Eng.  Oscar Americano";4
"R. Dr. José Augusto de Queiroz";4
"Av. Prestes Maia";4
"R. dos Trilhos";4
"R. Oriente";4
"Av. Reg. Feijó";4
"Av. Robert Kennedy";4
"R. Otelo Augusto Ribeiro";4
"Av. Pompéia";4
"R. João da Cruz e Sousa";4
"R. Maria Lúcia Duarte";4
"R. dos Italianos";4
"Av. Rudge";4
"Av. Paulo VI";4
"Av. Barão de Mauá";4
"Tv. Borges dos Santos";4
"R. da Gávea";4
"Av. Sen. Queirós";4
"Av. Auro Soares de Moura Andrade";4
"R. Dona Brígida";4
"Av. Dr. Gastão Vidigal";4
"Av. Thomas Edison";4
"Av. Padre Arlindo Vieira";4
"Av. Comendador Fiorelli Peccicacco";4
"R. Indiana";4
"Av. Antônio Munhoz Bonilha";4
"Av. Antônio Joaquim de Moura Andrade";4
"Av. Comendador Sant'Anna";4
"Av. das Belezas";4
"R. Estados Unidos";4
"R. Joaquim Távora";4
"R. Maj. Natanael";4
"R. Encruzilhada do Sul";4
"Av. Mariana Caligiori Ronchetti";4
"R. Lisboa";4
"Av. Governador Mario Covas";4
"R. Palestra Itália";4
"R. Francisco Marengo";4
"Av. José Pinheiro Borges";4
"R. do Oratório";4
"Av. Iraí";4
"R. Getulina";4
"R. Coriolano";4
"Av. Guilherme";4
"R. Itapaiúna";4
"R. dos Aliados";4
"R. Dr. Cesário Mota Júnior";4
"Av. Jair Ribeiro da Silva";4
"R. Paratiji";4
"R. Albuquerque Lins";4
"Av. Dr. Antônio Maria Laet";4
"R. José Paulino";4
"R. Luís Góis";4
"R. Pasquale Gallupi";4
"Av. Hélio Pellegrino";4
"Av. João dos Santos Abreu";4
"Pça.  da Luz";4
"R. São Bonifácio";4
"R. Santo Antônio";4
"R. Divinópolis";4
"R. Amaro Alves do Rosário";4
"Av. Francisco Matarazzo";3
"Av. Valdemar Ferreira";3
"R. Botuporã";3
"Av. da Aclimação";3
"Av. Caetano e Mezotero";3
"R. Manuel de Teffé";3
"Av. Felippo Sturba";3
"R. Simone Martini";3
"Av. Arquiteto Vilanova Artigas";3
"R. Jaguaré";3
"Av. Tucuruvi";3
"R. Calaguala";3
"R. Oagy Kalile";3
"R. São Luís do Paraitinga";3
"R. Jurubatuba";3
"R. Verdun";3
"R. Aliança Liberal";3
