rule,support,confidence,lift
"10, 0.17708333333333334, 0.17708333333333334, 1.0"
"11, 0.21726190476190477, 0.21726190476190477, 1.0"
"12, 0.3288690476190476, 0.3288690476190476, 1.0"
"13, 0.19196428571428573, 0.19196428571428573, 1.0"
"14, 0.10416666666666667, 0.10416666666666667, 1.0"
"2, 0.12351190476190477, 0.12351190476190477, 1.0"
"5, 0.12202380952380952, 0.12202380952380952, 1.0"
"6, 0.10267857142857142, 0.10267857142857142, 1.0"
"7, 0.20386904761904762, 0.20386904761904762, 1.0"
"8, 0.13839285714285715, 0.13839285714285715, 1.0"
"9, 0.1800595238095238, 0.1800595238095238, 1.0"
"12 11, 0.12648809523809523, 0.5821917808219178, 1.7702845100105373"
"12 13, 0.12351190476190477, 0.3755656108597285, 1.9564348100599809"
"7 8, 0.10119047619047619, 0.49635036496350365, 3.5865316694137035"
