"cd_linha";"min";"max";"mean";"var";"std";"count";"count_nonzero";"nonzero_percentage";"filename";"dateTime"
32769;0;54;11.754807692307692;178.98151777997313;13.378397429437246;624;384;38.46153846153846;"201708011900_201708012000";"2017-08-07 20:52:00"
32772;0;51;18.450267379679143;233.44051117040127;15.278760131974101;935;711;23.957219251336902;"201708011900_201708012000";"2017-08-07 20:52:00"
32773;0;53;8.121621621621621;145.2294851412497;12.051119663386043;222;108;51.35135135135135;"201708011900_201708012000";"2017-08-07 20:52:00"
32776;0;53;20.735408560311285;230.82815539883268;15.193029829459055;257;209;18.67704280155642;"201708011900_201708012000";"2017-08-07 20:52:00"
32780;0;30;9.538461538461538;86.71928071928068;9.312318761687697;78;52;33.333333333333336;"201708011900_201708012000";"2017-08-07 20:52:00"
32781;0;48;10.121621621621621;127.03943989238108;11.27117739601241;222;140;36.93693693693694;"201708011900_201708012000";"2017-08-07 20:52:00"
32782;0;47;15.658333333333333;159.9074929971989;12.645453451624377;120;88;26.66666666666667;"201708011900_201708012000";"2017-08-07 20:52:00"
32787;0;44;10.656028368794326;127.48624466823144;11.290980677878757;282;179;36.52482269503546;"201708011900_201708012000";"2017-08-07 20:52:00"
32789;0;36;9.66326530612245;99.58647170208289;9.979302165085638;98;68;30.612244897959183;"201708011900_201708012000";"2017-08-07 20:52:00"
32791;0;40;5.8838174273858925;97.33644536652831;9.865923442158282;241;83;65.56016597510373;"201708011900_201708012000";"2017-08-07 20:52:00"
32795;0;40;3.6647398843930636;66.959738627796;8.182893047559402;346;74;78.61271676300578;"201708011900_201708012000";"2017-08-07 20:52:00"
32796;0;53;9.619565217391305;119.37360418151579;10.92582281485087;184;104;43.47826086956522;"201708011900_201708012000";"2017-08-07 20:52:00"
32797;0;53;9.076628352490422;156.60949012673154;12.51437134364853;261;128;50.957854406130274;"201708011900_201708012000";"2017-08-07 20:52:00"
32798;0;45;8.97860962566845;115.99953999194977;10.770308258910223;187;103;44.919786096256686;"201708011900_201708012000";"2017-08-07 20:52:00"
32799;0;52;10.363636363636363;144.62740076824582;12.026113286022456;143;92;35.66433566433567;"201708011900_201708012000";"2017-08-07 20:52:00"
32800;0;37;7.3609467455621305;118.76775147928993;10.898061822144795;169;73;56.80473372781065;"201708011900_201708012000";"2017-08-07 20:52:00"
32802;0;44;16.46808510638298;157.16743755781687;12.53664379161412;47;37;21.276595744680847;"201708011900_201708012000";"2017-08-07 20:52:00"
32805;0;54;16.193430656934307;252.16361307196524;15.879660357575828;548;398;27.372262773722632;"201708011900_201708012000";"2017-08-07 20:52:00"
